Microwshed_ID,Area_Acres,Pond_Count,Total_Pond_Area_Acres,Average_Pond_Area_Acres,Pond Area /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
913,53.76,4,10.61,2.65,19.74,28.15,390.78,53.67,34.76,86.69
879,61.34,2,10.12,5.06,16.50,26.88,360.08,49.24,9.96,13.57
1035,27.24,2,10.08,5.04,37.00,26.77,203.39,29.25,4.92,41.70
841,31.88,3,10.07,3.36,31.59,26.75,203.86,26.69,17.94,78.42
684,57.51,3,10.07,3.36,17.51,26.75,329.26,43.04,10.06,55.79
882,24.33,1,9.67,9.67,39.75,25.71,177.00,24.30,20.03,62.38
797,114.39,2,9.12,4.56,7.97,24.28,790.55,109.00,21.48,65.32
890,9.76,1,9.09,9.09,93.10,24.20,61.78,8.96,13.93,91.13
892,9.29,1,9.09,9.09,97.86,24.20,58.76,8.52,0.83,nan
1061,8.65,1,8.91,8.91,103.00,23.73,59.55,8.90,5.79,46.32
612,14.01,3,8.80,2.93,62.81,23.45,14.82,2.08,5.64,42.26
786,113.96,3,8.51,2.84,7.47,22.70,620.67,82.67,16.09,68.02
1072,9.96,1,7.92,7.92,79.54,21.17,68.57,10.25,26.10,96.50
1032,9.16,1,7.87,7.87,85.91,21.03,67.84,9.76,1.49,4.78
618,89.73,2,7.77,3.89,8.66,20.79,613.82,89.17,11.96,86.02
640,41.87,3,7.31,2.44,17.46,19.59,153.11,21.34,17.13,76.10
848,129.56,2,7.02,3.51,5.42,18.83,846.91,112.77,12.96,48.94
1008,42.37,2,6.74,3.37,15.90,18.10,229.98,30.76,22.65,69.61
908,16.30,1,6.41,6.41,39.31,17.25,126.24,18.93,18.41,63.88
1010,12.82,1,6.40,6.40,49.88,17.22,69.26,9.22,15.27,84.65
1011,10.02,1,6.40,6.40,63.82,17.22,54.35,7.25,9.20,55.39
625,36.75,1,6.23,6.23,16.96,16.80,247.67,35.82,8.30,85.63
635,63.41,3,6.04,2.01,9.53,16.31,nan,nan,21.18,86.09
811,43.61,2,5.90,2.95,13.52,15.92,300.10,41.50,12.70,56.46
780,101.70,3,5.58,1.86,5.49,15.11,674.23,91.37,9.63,86.22
1096,17.41,1,5.33,5.33,30.62,14.46,95.28,13.28,21.99,99.94
609,33.09,3,5.23,1.74,15.79,14.19,42.49,6.00,20.50,86.20
805,47.22,2,5.12,2.56,10.85,13.92,312.60,42.03,20.76,82.38
809,8.93,1,5.04,5.04,56.44,13.71,61.45,8.50,18.53,95.08
810,24.54,1,5.04,5.04,20.53,13.71,169.84,23.33,9.23,59.20
887,25.47,2,4.74,2.37,18.60,12.93,185.15,25.43,29.72,89.50
860,29.80,1,4.72,4.72,15.84,12.88,204.67,28.26,22.29,79.84
613,10.18,2,4.69,2.34,46.05,12.79,84.34,12.14,10.64,54.32
661,12.75,1,4.60,4.60,36.05,12.56,nan,nan,19.11,66.50
914,18.15,2,4.57,2.29,25.20,12.50,131.86,18.11,30.79,79.80
652,24.42,2,4.54,2.27,18.61,12.42,149.32,20.81,24.48,80.49
925,11.48,2,4.26,2.13,37.11,11.69,96.89,13.98,14.15,76.56
1044,120.12,1,4.18,4.18,3.48,11.47,1038.75,158.65,23.57,78.07
1043,71.53,1,4.18,4.18,5.84,11.47,620.96,97.84,23.79,73.01
683,10.24,1,4.10,4.10,40.04,11.27,53.32,6.95,13.36,60.77
1060,63.05,2,4.05,2.02,6.42,11.13,420.68,62.09,16.27,87.36
1056,12.01,2,4.05,2.02,33.70,11.13,82.67,12.36,21.90,87.55
863,14.63,1,3.93,3.93,26.89,10.84,78.98,11.18,22.83,73.58
1029,20.85,1,3.81,3.81,18.28,10.53,126.81,18.76,15.00,40.81
1009,13.10,1,3.80,3.80,28.98,10.49,70.69,9.40,12.97,73.86
1012,8.27,1,3.77,3.77,45.64,10.43,36.90,4.92,12.73,50.35
1067,18.51,1,3.74,3.74,20.20,10.33,127.45,19.05,7.14,26.20
1047,34.97,3,3.73,1.24,10.66,10.30,289.82,41.95,12.26,78.34
1049,17.98,3,3.73,1.24,20.72,10.30,147.40,21.37,9.21,69.70
686,17.63,1,3.66,3.66,20.79,10.14,112.18,14.63,9.07,32.56
1083,12.10,1,3.60,3.60,29.79,9.99,70.47,9.77,7.63,45.18
794,10.81,1,3.56,3.56,32.88,9.86,68.81,8.97,8.74,63.07
639,31.50,1,3.54,3.54,11.25,9.82,nan,nan,13.60,88.90
565,210.64,2,3.35,1.68,1.59,9.34,1736.51,263.86,27.63,80.32
923,68.86,1,3.35,3.35,4.86,9.32,555.03,81.68,27.70,91.16
1027,45.52,1,3.35,3.35,7.36,9.32,358.75,53.36,25.67,86.82
829,42.40,1,3.31,3.31,7.80,9.21,308.40,42.34,6.09,36.18
694,9.54,1,3.30,3.30,34.64,9.21,0.04,0.01,9.82,40.57
693,53.17,1,3.30,3.30,6.21,9.21,154.04,22.01,19.38,65.46
691,21.65,1,3.30,3.30,15.26,9.21,24.01,3.31,26.67,95.22
629,15.66,1,3.24,3.24,20.66,9.03,125.59,19.63,3.79,63.19
957,88.68,2,3.23,1.61,3.64,9.01,659.22,101.39,12.97,45.25
899,20.28,1,3.10,3.10,15.29,8.68,147.56,20.26,13.75,85.85
623,24.78,1,3.09,3.09,12.48,8.66,198.40,30.95,2.74,34.26
620,54.55,1,3.09,3.09,5.67,8.66,438.62,68.43,3.41,34.38
885,30.86,1,3.07,3.07,9.93,8.59,196.27,28.41,17.82,88.49
886,49.26,1,3.07,3.07,6.22,8.59,312.68,45.27,10.14,81.38
1007,13.22,1,2.94,2.94,22.23,8.26,71.70,9.59,25.40,74.00
1016,16.22,1,2.89,2.89,17.79,8.12,99.55,14.63,23.32,99.80
894,32.27,1,2.89,2.89,8.94,8.12,202.54,29.48,16.68,78.54
580,79.20,2,2.80,1.40,3.54,7.91,528.80,67.67,13.95,74.64
659,16.32,1,2.77,2.77,16.94,7.81,3.79,0.53,15.44,73.28
1017,27.13,1,2.71,2.71,9.99,7.66,162.69,24.17,16.65,63.47
570,22.01,2,2.67,1.34,12.15,7.57,130.96,16.54,2.62,28.06
590,27.89,1,2.67,2.67,9.57,7.56,235.15,35.33,13.15,75.90
1055,25.11,1,2.65,2.65,10.54,7.50,172.57,25.79,18.27,99.63
801,26.94,1,2.61,2.61,9.68,7.40,204.33,29.63,13.77,71.28
800,13.39,1,2.61,2.61,19.48,7.40,101.58,14.73,6.33,43.76
799,10.57,1,2.61,2.61,24.67,7.40,80.20,11.63,26.20,99.17
1075,12.86,1,2.60,2.60,20.26,7.40,88.54,13.23,14.61,62.68
636,25.86,1,2.51,2.51,9.69,7.14,43.33,6.04,25.11,87.01
637,27.53,2,2.50,1.25,9.09,7.13,nan,nan,22.37,82.13
906,8.34,1,2.49,2.49,29.85,7.09,60.67,8.33,9.33,72.27
692,59.56,1,2.41,2.41,4.04,6.88,479.02,68.94,21.08,82.96
695,10.65,1,2.41,2.41,22.60,6.88,88.45,12.73,17.57,90.84
696,25.64,1,2.41,2.41,9.39,6.88,197.95,28.49,23.09,86.96
837,15.11,1,2.32,2.32,15.33,6.65,88.21,11.66,7.53,0.00
847,33.33,1,2.30,2.30,6.89,6.59,218.38,29.14,19.00,79.36
1088,11.20,1,2.27,2.27,20.26,6.52,73.47,10.75,6.75,41.10
1040,37.00,1,2.21,2.21,5.97,6.37,281.41,42.28,13.53,73.26
679,14.75,1,2.19,2.19,14.85,6.32,8.47,1.26,33.70,87.00
1052,36.57,1,2.19,2.19,5.98,6.31,290.16,45.43,14.29,74.05
883,10.94,1,2.16,2.16,19.78,6.25,69.58,9.26,1.07,24.07
628,33.66,1,2.14,2.14,6.36,6.19,282.14,41.08,19.09,85.73
592,96.83,1,2.06,2.06,2.13,5.99,752.81,114.03,15.31,71.93
591,10.24,1,2.06,2.06,20.15,5.99,82.41,12.90,22.15,75.01
698,25.02,1,2.06,2.06,8.24,5.99,35.62,4.72,25.34,89.74
567,24.91,1,2.02,2.02,8.12,5.89,205.48,31.22,31.46,89.33
941,15.93,1,1.96,1.96,12.28,5.72,135.69,19.83,4.26,50.30
795,40.22,1,1.88,1.88,4.68,5.52,304.87,44.18,15.03,91.50
798,27.08,1,1.88,1.88,6.95,5.52,205.15,29.72,12.30,87.62
802,17.99,1,1.80,1.80,10.00,5.30,135.84,19.58,16.89,74.25
578,13.82,1,1.55,1.55,11.25,4.67,91.84,11.71,6.15,82.61
621,19.20,1,1.54,1.54,8.01,4.63,129.11,18.65,25.35,91.78
572,11.60,1,1.54,1.54,13.25,4.63,69.25,8.75,2.66,23.29
605,29.56,1,1.53,1.53,5.19,4.62,238.55,37.27,12.15,77.07
871,11.58,1,1.44,1.44,12.45,4.38,85.10,10.83,24.06,85.82
1039,37.25,1,1.44,1.44,3.86,4.37,288.40,43.25,18.83,94.29
1036,12.53,1,1.44,1.44,11.48,4.37,97.06,14.55,21.85,89.48
807,21.04,1,1.43,1.43,6.78,4.34,144.32,19.92,21.37,64.70
783,15.29,1,1.34,1.34,8.77,4.12,97.40,12.73,31.11,91.76
589,29.22,1,1.33,1.33,4.55,4.09,240.91,36.63,17.95,67.43
581,14.16,1,1.25,1.25,8.83,3.88,94.49,12.05,17.60,92.84
903,10.48,1,1.23,1.23,11.76,3.84,79.05,11.43,24.89,90.03
660,41.51,1,1.22,1.22,2.94,3.80,103.57,14.43,14.65,70.77
870,20.95,1,1.19,1.19,5.67,3.72,151.96,20.87,9.10,44.38
982,65.71,1,1.17,1.17,1.77,3.67,418.97,61.92,19.52,32.42
873,17.02,1,1.16,1.16,6.82,3.65,102.58,13.44,15.67,67.08
662,10.54,1,1.13,1.13,10.75,3.58,nan,nan,15.17,90.91
1048,9.24,1,1.08,1.08,11.71,3.45,77.04,11.16,17.36,92.00
657,52.31,1,1.08,1.08,2.06,3.44,360.82,47.01,24.44,97.75
656,16.22,1,1.08,1.08,6.64,3.44,108.32,13.83,15.38,92.93
791,24.30,1,1.04,1.04,4.30,3.35,158.13,20.99,28.64,86.72
1053,23.83,1,1.04,1.04,4.36,3.34,181.00,28.32,12.89,51.48
877,18.25,1,1.03,1.03,5.66,3.32,113.03,15.47,6.06,10.31
862,29.05,1,1.01,1.01,3.47,3.26,182.15,23.81,7.69,36.97
857,39.55,1,1.01,1.01,2.55,3.26,248.98,32.52,7.49,28.11
790,8.62,1,1.00,1.00,11.65,3.25,54.84,7.15,20.48,76.58
789,9.86,1,1.00,1.00,10.18,3.25,62.76,8.18,21.37,84.12
705,18.79,0,0.00,0.00,0.00,0.64,32.26,4.26,26.84,nan
701,74.75,0,0.00,0.00,0.00,0.64,147.38,19.47,13.64,0.87
699,35.84,0,0.00,0.00,0.00,0.64,226.71,31.25,6.17,32.54
703,15.75,0,0.00,0.00,0.00,0.64,nan,nan,7.48,nan
706,33.70,0,0.00,0.00,0.00,0.64,141.66,18.72,26.87,nan
707,39.38,0,0.00,0.00,0.00,0.64,nan,nan,2.16,nan
708,10.23,0,0.00,0.00,0.00,0.64,nan,nan,4.57,nan
709,9.08,0,0.00,0.00,0.00,0.64,nan,nan,3.37,nan
700,9.68,0,0.00,0.00,0.00,0.64,nan,nan,14.57,nan
702,18.81,0,0.00,0.00,0.00,0.64,nan,nan,13.14,nan
704,21.14,0,0.00,0.00,0.00,0.64,5.72,0.75,27.48,3.06
2,16.77,0,0.00,0.00,0.00,0.64,nan,nan,0.75,nan
710,9.36,0,0.00,0.00,0.00,0.64,nan,nan,2.98,nan
738,38.53,0,0.00,0.00,0.00,0.64,nan,nan,5.80,nan
741,12.04,0,0.00,0.00,0.00,0.64,nan,nan,8.84,nan
742,21.99,0,0.00,0.00,0.00,0.64,nan,nan,9.28,nan
743,17.67,0,0.00,0.00,0.00,0.64,nan,nan,6.74,nan
744,25.64,0,0.00,0.00,0.00,0.64,nan,nan,3.88,nan
745,12.11,0,0.00,0.00,0.00,0.64,nan,nan,3.09,nan
746,69.46,0,0.00,0.00,0.00,0.64,nan,nan,1.31,nan
747,29.95,0,0.00,0.00,0.00,0.64,nan,nan,1.55,nan
748,34.43,0,0.00,0.00,0.00,0.64,nan,nan,0.82,nan
749,59.92,0,0.00,0.00,0.00,0.64,nan,nan,0.38,nan
750,8.42,0,0.00,0.00,0.00,0.64,nan,nan,0.00,nan
751,13.99,0,0.00,0.00,0.00,0.64,nan,nan,0.00,nan
752,22.32,0,0.00,0.00,0.00,0.64,nan,nan,1.43,nan
753,136.62,0,0.00,0.00,0.00,0.64,nan,nan,1.62,nan
754,45.27,0,0.00,0.00,0.00,0.64,nan,nan,0.00,nan
755,34.25,0,0.00,0.00,0.00,0.64,nan,nan,4.38,nan
756,18.58,0,0.00,0.00,0.00,0.64,nan,nan,7.77,nan
757,13.14,0,0.00,0.00,0.00,0.64,nan,nan,16.68,nan
758,18.11,0,0.00,0.00,0.00,0.64,nan,nan,4.91,nan
759,9.44,0,0.00,0.00,0.00,0.64,nan,nan,4.43,nan
760,38.21,0,0.00,0.00,0.00,0.64,nan,nan,6.15,nan
761,22.55,0,0.00,0.00,0.00,0.64,nan,nan,5.69,nan
762,25.74,0,0.00,0.00,0.00,0.64,nan,nan,7.51,nan
763,8.41,0,0.00,0.00,0.00,0.64,nan,nan,11.15,nan
739,9.60,0,0.00,0.00,0.00,0.64,nan,nan,7.74,nan
737,13.31,0,0.00,0.00,0.00,0.64,nan,nan,12.25,nan
711,16.99,0,0.00,0.00,0.00,0.64,nan,nan,13.72,nan
736,267.41,0,0.00,0.00,0.00,0.64,41.54,5.49,5.84,nan
712,16.19,0,0.00,0.00,0.00,0.64,nan,nan,1.66,nan
713,17.52,0,0.00,0.00,0.00,0.64,nan,nan,4.79,nan
714,9.16,0,0.00,0.00,0.00,0.64,nan,nan,14.05,nan
715,13.04,0,0.00,0.00,0.00,0.64,nan,nan,6.11,nan
717,24.93,0,0.00,0.00,0.00,0.64,nan,nan,17.84,nan
718,16.37,0,0.00,0.00,0.00,0.64,nan,nan,18.72,nan
719,13.62,0,0.00,0.00,0.00,0.64,nan,nan,8.18,nan
720,35.45,0,0.00,0.00,0.00,0.64,nan,nan,5.97,nan
721,11.29,0,0.00,0.00,0.00,0.64,nan,nan,5.77,nan
722,19.30,0,0.00,0.00,0.00,0.64,nan,nan,14.39,nan
723,15.95,0,0.00,0.00,0.00,0.64,nan,nan,2.93,nan
724,9.82,0,0.00,0.00,0.00,0.64,nan,nan,17.38,nan
725,34.40,0,0.00,0.00,0.00,0.64,nan,nan,8.65,nan
726,12.75,0,0.00,0.00,0.00,0.64,nan,nan,5.37,nan
727,9.00,0,0.00,0.00,0.00,0.64,nan,nan,1.39,nan
728,41.85,0,0.00,0.00,0.00,0.64,nan,nan,0.60,nan
729,20.80,0,0.00,0.00,0.00,0.64,nan,nan,2.42,nan
730,16.57,0,0.00,0.00,0.00,0.64,nan,nan,6.91,nan
731,25.63,0,0.00,0.00,0.00,0.64,nan,nan,3.04,nan
732,90.97,0,0.00,0.00,0.00,0.64,nan,nan,4.96,nan
733,30.56,0,0.00,0.00,0.00,0.64,nan,nan,8.05,nan
734,9.49,0,0.00,0.00,0.00,0.64,nan,nan,7.08,nan
735,29.33,0,0.00,0.00,0.00,0.64,nan,nan,6.94,nan
740,158.96,0,0.00,0.00,0.00,0.64,nan,nan,7.40,nan
663,126.67,0,0.00,0.00,0.00,0.64,nan,nan,10.09,35.41
697,30.49,0,0.00,0.00,0.00,0.64,205.85,29.74,25.52,84.24
690,27.15,0,0.00,0.00,0.00,0.64,nan,nan,9.72,nan
585,23.71,0,0.00,0.00,0.00,0.64,164.24,21.97,6.59,16.18
586,9.57,0,0.00,0.00,0.00,0.64,53.33,8.01,13.26,39.14
587,25.02,0,0.00,0.00,0.00,0.64,206.40,31.36,34.32,94.31
588,8.23,0,0.00,0.00,0.00,0.64,67.90,10.32,2.53,21.47
593,56.96,0,0.00,0.00,0.00,0.64,473.36,68.12,23.65,100.00
594,8.83,0,0.00,0.00,0.00,0.64,73.38,10.56,22.09,100.00
595,15.65,0,0.00,0.00,0.00,0.64,126.03,19.71,25.68,99.22
596,9.83,0,0.00,0.00,0.00,0.64,79.23,12.37,11.55,100.00
598,23.42,0,0.00,0.00,0.00,0.64,197.14,29.63,19.42,99.94
599,9.09,0,0.00,0.00,0.00,0.64,76.68,11.52,16.38,100.00
600,9.75,0,0.00,0.00,0.00,0.64,82.15,12.35,17.65,100.00
601,12.18,0,0.00,0.00,0.00,0.64,98.02,15.34,19.91,96.54
602,14.85,0,0.00,0.00,0.00,0.64,120.08,18.72,14.91,98.07
603,26.71,0,0.00,0.00,0.00,0.64,9.24,1.39,0.15,4.47
604,8.90,0,0.00,0.00,0.00,0.64,71.63,11.22,5.89,54.32
607,41.31,0,0.00,0.00,0.00,0.64,343.32,49.41,22.99,100.00
608,14.34,0,0.00,0.00,0.00,0.64,116.66,16.62,34.97,100.00
610,15.26,0,0.00,0.00,0.00,0.64,87.45,12.26,57.43,100.00
611,74.13,0,0.00,0.00,0.00,0.64,574.24,82.14,36.10,100.00
615,74.79,0,0.00,0.00,0.00,0.64,620.62,89.32,27.41,99.53
616,24.96,0,0.00,0.00,0.00,0.64,207.00,29.79,18.69,100.00
583,17.96,0,0.00,0.00,0.00,0.64,119.79,15.28,1.73,17.98
582,19.89,0,0.00,0.00,0.00,0.64,133.87,17.23,6.06,22.58
579,16.31,0,0.00,0.00,0.00,0.64,108.09,13.78,0.00,nan
561,8.32,0,0.00,0.00,0.00,0.64,nan,nan,10.17,nan
552,20.62,0,0.00,0.00,0.00,0.64,nan,nan,20.59,nan
553,15.08,0,0.00,0.00,0.00,0.64,nan,nan,2.61,nan
554,15.93,0,0.00,0.00,0.00,0.64,nan,nan,10.87,nan
555,80.56,0,0.00,0.00,0.00,0.64,nan,nan,11.51,nan
556,8.93,0,0.00,0.00,0.00,0.64,nan,nan,14.99,nan
557,11.14,0,0.00,0.00,0.00,0.64,nan,nan,22.47,nan
558,10.56,0,0.00,0.00,0.00,0.64,35.03,3.32,0.00,nan
559,21.11,0,0.00,0.00,0.00,0.64,nan,nan,25.57,nan
560,10.43,0,0.00,0.00,0.00,0.64,nan,nan,11.80,nan
562,10.95,0,0.00,0.00,0.00,0.64,91.44,13.69,15.34,100.00
577,18.72,0,0.00,0.00,0.00,0.64,115.04,14.57,0.71,nan
563,33.15,0,0.00,0.00,0.00,0.64,273.58,41.58,25.50,77.32
564,11.72,0,0.00,0.00,0.00,0.64,96.68,14.69,25.50,70.02
566,20.44,0,0.00,0.00,0.00,0.64,168.53,25.60,37.87,99.20
568,8.39,0,0.00,0.00,0.00,0.64,69.26,10.52,13.79,98.32
571,9.42,0,0.00,0.00,0.00,0.64,55.97,7.07,2.45,36.85
573,62.83,0,0.00,0.00,0.00,0.64,419.74,53.78,3.38,8.86
574,71.50,0,0.00,0.00,0.00,0.64,424.08,53.57,2.22,nan
575,16.29,0,0.00,0.00,0.00,0.64,107.99,13.77,0.01,nan
576,18.45,0,0.00,0.00,0.00,0.64,107.78,13.59,1.78,nan
617,21.37,0,0.00,0.00,0.00,0.64,177.28,25.51,25.94,100.00
619,10.44,0,0.00,0.00,0.00,0.64,73.38,10.59,15.60,100.00
622,8.75,0,0.00,0.00,0.00,0.64,70.46,11.03,14.58,29.27
675,31.74,0,0.00,0.00,0.00,0.64,nan,nan,8.11,nan
666,14.06,0,0.00,0.00,0.00,0.64,nan,nan,6.61,nan
667,23.66,0,0.00,0.00,0.00,0.64,nan,nan,20.92,80.06
668,17.57,0,0.00,0.00,0.00,0.64,nan,nan,14.17,nan
669,33.08,0,0.00,0.00,0.00,0.64,nan,nan,15.47,0.02
670,13.65,0,0.00,0.00,0.00,0.64,nan,nan,17.56,nan
671,124.44,0,0.00,0.00,0.00,0.64,nan,nan,9.18,nan
672,18.98,0,0.00,0.00,0.00,0.64,nan,nan,7.74,nan
673,10.41,0,0.00,0.00,0.00,0.64,nan,nan,6.30,nan
674,96.53,0,0.00,0.00,0.00,0.64,nan,nan,4.45,nan
676,25.15,0,0.00,0.00,0.00,0.64,nan,nan,8.56,nan
664,13.09,0,0.00,0.00,0.00,0.64,nan,nan,10.60,2.46
677,69.08,0,0.00,0.00,0.00,0.64,nan,nan,7.06,17.43
678,27.23,0,0.00,0.00,0.00,0.64,nan,nan,9.73,nan
680,67.39,0,0.00,0.00,0.00,0.64,8.92,1.16,11.15,0.06
681,13.62,0,0.00,0.00,0.00,0.64,nan,nan,5.97,nan
682,11.49,0,0.00,0.00,0.00,0.64,8.92,1.16,9.54,0.35
685,14.60,0,0.00,0.00,0.00,0.64,65.16,8.50,27.29,95.02
687,19.99,0,0.00,0.00,0.00,0.64,nan,nan,1.83,nan
688,8.54,0,0.00,0.00,0.00,0.64,nan,nan,15.99,nan
689,16.34,0,0.00,0.00,0.00,0.64,nan,nan,10.60,nan
665,13.03,0,0.00,0.00,0.00,0.64,nan,nan,4.10,32.53
765,12.13,0,0.00,0.00,0.00,0.64,nan,nan,4.47,nan
624,11.91,0,0.00,0.00,0.00,0.64,96.13,15.00,4.02,55.67
644,22.55,0,0.00,0.00,0.00,0.64,nan,nan,17.60,72.78
626,63.28,0,0.00,0.00,0.00,0.64,426.27,61.57,20.02,70.93
627,25.92,0,0.00,0.00,0.00,0.64,174.26,25.17,11.69,48.64
630,33.23,0,0.00,0.00,0.00,0.64,283.98,40.32,15.54,93.81
631,11.88,0,0.00,0.00,0.00,0.64,0.23,0.03,0.00,0.31
632,9.52,0,0.00,0.00,0.00,0.64,nan,nan,0.00,nan
638,64.26,0,0.00,0.00,0.00,0.64,nan,nan,10.27,34.97
641,11.95,0,0.00,0.00,0.00,0.64,nan,nan,11.97,nan
642,76.24,0,0.00,0.00,0.00,0.64,nan,nan,10.69,36.39
643,67.63,0,0.00,0.00,0.00,0.64,nan,nan,6.56,nan
645,9.32,0,0.00,0.00,0.00,0.64,nan,nan,8.78,nan
658,21.40,0,0.00,0.00,0.00,0.64,146.10,18.91,29.62,100.00
646,17.01,0,0.00,0.00,0.00,0.64,nan,nan,6.28,nan
647,25.89,0,0.00,0.00,0.00,0.64,nan,nan,12.02,nan
648,19.78,0,0.00,0.00,0.00,0.64,nan,nan,7.78,12.60
649,24.52,0,0.00,0.00,0.00,0.64,nan,nan,17.74,7.26
650,49.03,0,0.00,0.00,0.00,0.64,354.37,50.97,23.26,88.15
651,9.21,0,0.00,0.00,0.00,0.64,61.06,7.79,0.00,4.24
653,13.00,0,0.00,0.00,0.00,0.64,86.92,11.13,35.87,93.60
654,13.75,0,0.00,0.00,0.00,0.64,99.80,14.38,35.78,100.00
655,9.67,0,0.00,0.00,0.00,0.64,68.83,9.84,26.99,100.00
764,33.33,0,0.00,0.00,0.00,0.64,nan,nan,14.25,nan
822,19.94,0,0.00,0.00,0.00,0.64,34.58,5.09,2.75,17.51
766,16.70,0,0.00,0.00,0.00,0.64,nan,nan,2.14,nan
978,13.17,0,0.00,0.00,0.00,0.64,93.22,14.13,25.11,44.08
968,15.40,0,0.00,0.00,0.00,0.64,99.81,14.48,15.56,nan
969,17.46,0,0.00,0.00,0.00,0.64,113.19,16.42,21.16,nan
970,8.75,0,0.00,0.00,0.00,0.64,40.38,5.86,9.47,nan
971,14.51,0,0.00,0.00,0.00,0.64,nan,nan,16.96,nan
972,11.65,0,0.00,0.00,0.00,0.64,nan,nan,3.20,nan
973,18.03,0,0.00,0.00,0.00,0.64,nan,nan,2.27,nan
974,16.56,0,0.00,0.00,0.00,0.64,nan,nan,38.86,nan
975,55.57,0,0.00,0.00,0.00,0.64,nan,nan,15.96,nan
976,35.67,0,0.00,0.00,0.00,0.64,0.24,0.04,9.88,nan
977,19.82,0,0.00,0.00,0.00,0.64,128.77,18.70,15.19,0.25
979,23.16,0,0.00,0.00,0.00,0.64,150.22,21.80,21.11,nan
966,40.08,0,0.00,0.00,0.00,0.64,140.67,20.40,13.53,nan
980,8.68,0,0.00,0.00,0.00,0.64,55.97,8.23,10.95,34.59
981,16.25,0,0.00,0.00,0.00,0.64,103.11,15.38,11.77,70.86
983,10.92,0,0.00,0.00,0.00,0.64,70.75,10.27,36.97,nan
985,17.41,0,0.00,0.00,0.00,0.64,112.87,16.37,1.96,nan
986,12.38,0,0.00,0.00,0.00,0.64,80.27,11.64,17.33,nan
987,19.59,0,0.00,0.00,0.00,0.64,127.00,18.42,30.27,nan
988,10.55,0,0.00,0.00,0.00,0.64,46.80,6.79,44.93,nan
989,10.01,0,0.00,0.00,0.00,0.64,46.17,6.70,26.49,nan
990,100.55,0,0.00,0.00,0.00,0.64,119.75,17.41,19.51,1.57
991,17.69,0,0.00,0.00,0.00,0.64,26.78,3.92,10.07,8.92
967,97.37,0,0.00,0.00,0.00,0.64,532.16,77.19,9.61,nan
965,13.94,0,0.00,0.00,0.00,0.64,76.53,11.10,16.02,nan
993,35.43,0,0.00,0.00,0.00,0.64,217.20,31.80,15.19,14.34
948,33.42,0,0.00,0.00,0.00,0.64,10.71,1.55,10.51,nan
937,23.80,0,0.00,0.00,0.00,0.64,203.00,29.65,4.04,66.18
938,21.80,0,0.00,0.00,0.00,0.64,186.02,27.18,5.38,35.49
939,9.66,0,0.00,0.00,0.00,0.64,82.47,12.05,5.26,55.68
